#   RTL                                                                     TYPE       FILENAME               BEGIN    END      
rtl exec_stage                                                              module     ../rtl/EXEC_stage.v      16.1    120.10  
rtl exec_stage/input_alu_func                                               input      ../rtl/EXEC_stage.v      22.21    22.29  
rtl exec_stage/input_ext_i                                                  input      ../rtl/EXEC_stage.v      24.22    24.27  
rtl exec_stage/input_muxa_fw_ctl                                            input      ../rtl/EXEC_stage.v      28.21    28.32  
rtl exec_stage/input_rs_i                                                   input      ../rtl/EXEC_stage.v      31.22    31.26  
rtl exec_stage/wire_alu_ur_o                                                wire       ../rtl/EXEC_stage.v      33.23    33.31  
rtl exec_stage/wire_BUS468                                                  wire       ../rtl/EXEC_stage.v      40.17    40.23  
rtl exec_stage/wire_BUS476                                                  wire       ../rtl/EXEC_stage.v      41.17    41.23  
rtl exec_stage/inst_MIPS_alu                                                inst       ../rtl/EXEC_stage.v      44.14    52.15  
rtl exec_stage/inst_i_alu_muxb                                              inst       ../rtl/EXEC_stage.v      72.14    78.15  
rtl exec_stage/inst_i_alu_muxa                                              inst       ../rtl/EXEC_stage.v      82.14    93.15  
rtl mips_alu                                                                module     ../rtl/EXEC_stage.v     122.1    177.10  
rtl mips_alu/input_a                                                        input      ../rtl/EXEC_stage.v     124.19   124.20  
rtl mips_alu/input_b                                                        input      ../rtl/EXEC_stage.v     124.21   124.22  
rtl mips_alu/wire_c                                                         wire       ../rtl/EXEC_stage.v     125.19   125.20  
rtl mips_alu/input_ctl                                                      input      ../rtl/EXEC_stage.v     126.17   126.20  
rtl mips_alu/wire_mul_div_c                                                 wire       ../rtl/EXEC_stage.v     128.17   128.26  
rtl mips_alu/wire_alu_c                                                     wire       ../rtl/EXEC_stage.v     129.17   129.22  
rtl mips_alu/wire_shift_c                                                   wire       ../rtl/EXEC_stage.v     130.17   130.24  
rtl mips_alu/assign_1_c                                                     assign     ../rtl/EXEC_stage.v     132.12   132.43  
rtl mips_alu/inst_muldiv_ff                                                 inst       ../rtl/EXEC_stage.v     134.15   142.16  
rtl mips_alu/inst_mips_shifter                                              inst       ../rtl/EXEC_stage.v     161.27   166.6   
rtl mips_alu/inst_mips_alu                                                  inst       ../rtl/EXEC_stage.v     170.9    175.10  
rtl alu_muxa                                                                module     ../rtl/EXEC_stage.v     179.1    201.10  
rtl alu_muxa/input_rs                                                       input      ../rtl/EXEC_stage.v     183.21   183.23  
rtl alu_muxa/input_fw_ctl                                                   input      ../rtl/EXEC_stage.v     187.21   187.27  
rtl alu_muxa/reg_a_o                                                        reg        ../rtl/EXEC_stage.v     188.26   188.29  
rtl alu_muxa/always_1                                                       always     ../rtl/EXEC_stage.v     191.5    200.8   
rtl alu_muxa/always_1/block_1                                               block      ../rtl/EXEC_stage.v     192.5    200.8   
rtl alu_muxa/always_1/block_1/case_1                                        case       ../rtl/EXEC_stage.v     193.9    199.16  
rtl alu_muxa/always_1/block_1/case_1/stmt_1                                 stmt       ../rtl/EXEC_stage.v     194.25   194.86  
rtl alu_muxb                                                                module     ../rtl/EXEC_stage.v     203.1    215.10  
rtl alu_muxb/input_ext                                                      input      ../rtl/EXEC_stage.v     205.21   205.24  
rtl alu_muxb/reg_b_o                                                        reg        ../rtl/EXEC_stage.v     207.27   207.30  
rtl alu_muxb/always_1                                                       always     ../rtl/EXEC_stage.v     209.5    214.12  
rtl alu_muxb/always_1/case_1                                                case       ../rtl/EXEC_stage.v     210.5    214.12  
rtl alu_muxb/always_1/case_1/stmt_1                                         stmt       ../rtl/EXEC_stage.v     212.21   212.29  
rtl alu                                                                     module     ../rtl/EXEC_stage.v     221.1    260.10  
rtl alu/input_a                                                             input      ../rtl/EXEC_stage.v     222.22   222.23  
rtl alu/input_b                                                             input      ../rtl/EXEC_stage.v     223.21   223.22  
rtl alu/reg_alu_out                                                         reg        ../rtl/EXEC_stage.v     224.27   224.34  
rtl alu/input_alu_func                                                      input      ../rtl/EXEC_stage.v     225.21   225.29  
rtl alu/always_1                                                            always     ../rtl/EXEC_stage.v     230.5    259.8   
rtl alu/always_1/block_1                                                    block      ../rtl/EXEC_stage.v     231.5    259.8   
rtl alu/always_1/block_1/case_1                                             case       ../rtl/EXEC_stage.v     232.9    258.16  
rtl alu/always_1/block_1/case_1/cond                                        cond       ../rtl/EXEC_stage.v     232.15   232.23  
rtl alu/always_1/block_1/case_1/stmt_3                                      stmt       ../rtl/EXEC_stage.v     236.27   236.39  
rtl alu/always_1/block_1/case_1/stmt_6                                      stmt       ../rtl/EXEC_stage.v     240.27   240.41  
rtl shifter_tak                                                             module     ../rtl/EXEC_stage.v     282.1    407.10  
rtl shifter_tak/reg_shift_out                                               reg        ../rtl/EXEC_stage.v     284.27   284.36  
rtl shifter_tak/always_1                                                    always     ../rtl/EXEC_stage.v     289.5    406.12  
rtl shifter_tak/always_1/case_1                                             case       ../rtl/EXEC_stage.v     290.5    406.12  
rtl shifter_tak/always_1/case_1/stmt_1                                      stmt       ../rtl/EXEC_stage.v     405.19   405.33  
rtl muldiv_ff                                                               module     ../rtl/EXEC_stage.v     544.1    727.10  
rtl muldiv_ff/input_op_type                                                 input      ../rtl/EXEC_stage.v     563.19   563.26  
rtl muldiv_ff/wire_res                                                      wire       ../rtl/EXEC_stage.v     566.19   566.22  
rtl muldiv_ff/assign_2_res                                                  assign     ../rtl/EXEC_stage.v     584.12   584.87  
rtl ext                                                                     module     ../rtl/RF_components.v   15.1     36.10  
rtl ext/input_ins_i                                                         input      ../rtl/RF_components.v   16.22    16.27  
rtl ext/reg_res                                                             reg        ../rtl/RF_components.v   17.27    17.30  
rtl ext/input_ctl                                                           input      ../rtl/RF_components.v   18.20    18.23  
rtl ext/wire_instr25_0                                                      wire       ../rtl/RF_components.v   21.17    21.26  
rtl ext/assign_1_instr25_0                                                  assign     ../rtl/RF_components.v   22.12    22.35  
rtl ext/wire_sign                                                           wire       ../rtl/RF_components.v   24.16    24.20  
rtl ext/assign_2_sign                                                       assign     ../rtl/RF_components.v   24.23    24.42  
rtl ext/always_1                                                            always     ../rtl/RF_components.v   26.5     35.12  
rtl ext/always_1/case_1                                                     case       ../rtl/RF_components.v   27.5     35.12  
rtl ext/always_1/case_1/cond                                                cond       ../rtl/RF_components.v   27.11    27.14  
rtl ext/always_1/case_1/stmt_1                                              stmt       ../rtl/RF_components.v   28.23    28.58  
rtl ext/always_1/case_1/stmt_2                                              stmt       ../rtl/RF_components.v   29.23    29.59  
rtl reg_array                                                               module     ../rtl/RF_components.v  105.1    170.10  
rtl reg_array/input_pause                                                   input      ../rtl/RF_components.v  106.15   106.20  
rtl reg_array/input_data                                                    input      ../rtl/RF_components.v  107.23   107.27  
rtl reg_array/input_wraddress                                               input      ../rtl/RF_components.v  108.22   108.31  
rtl reg_array/input_rdaddress_a                                             input      ../rtl/RF_components.v  109.22   109.33  
rtl reg_array/input_rd_clk_cls                                              input      ../rtl/RF_components.v  111.15   111.25  
rtl reg_array/input_wren                                                    input      ../rtl/RF_components.v  112.15   112.19  
rtl reg_array/wire_qa                                                       wire       ../rtl/RF_components.v  114.24   114.26  
rtl reg_array/reg_r_data                                                    reg        ../rtl/RF_components.v  119.17   119.23  
rtl reg_array/reg_r_wraddress                                               reg        ../rtl/RF_components.v  120.16   120.27  
rtl reg_array/reg_r_rdaddress_a                                             reg        ../rtl/RF_components.v  121.16   121.29  
rtl reg_array/reg_r_wren                                                    reg        ../rtl/RF_components.v  124.9    124.15  
rtl reg_array/always_1                                                      always     ../rtl/RF_components.v  135.5    141.12  
rtl reg_array/always_1/if_1                                                 if         ../rtl/RF_components.v  136.9    141.12  
rtl reg_array/always_1/if_1/cond                                            cond       ../rtl/RF_components.v  136.12   136.20  
rtl reg_array/always_1/if_1/block_1                                         block      ../rtl/RF_components.v  137.9    141.12  
rtl reg_array/always_1/if_1/block_1/stmt_1                                  stmt       ../rtl/RF_components.v  138.13   138.27  
rtl reg_array/always_1/if_1/block_1/stmt_2                                  stmt       ../rtl/RF_components.v  139.13   139.36  
rtl reg_array/always_1/if_1/block_1/stmt_3                                  stmt       ../rtl/RF_components.v  140.13   140.26  
rtl reg_array/always_2                                                      always     ../rtl/RF_components.v  143.5    148.12  
rtl reg_array/always_2/if_1                                                 if         ../rtl/RF_components.v  144.9    148.12  
rtl reg_array/always_2/if_1/cond                                            cond       ../rtl/RF_components.v  144.12   144.43  
rtl reg_array/always_2/if_1/block_1                                         block      ../rtl/RF_components.v  145.9    148.12  
rtl reg_array/always_2/if_1/block_1/stmt_1                                  stmt       ../rtl/RF_components.v  146.13   146.41  
rtl rf_stage                                                                module     ../rtl/RF_stage.v        16.1    197.10  
rtl rf_stage/input_pause                                                    input      ../rtl/RF_stage.v        17.15    17.20  
rtl rf_stage/input_irq_i                                                    input      ../rtl/RF_stage.v        19.15    19.20  
rtl rf_stage/input_rst_i                                                    input      ../rtl/RF_stage.v        20.15    20.20  
rtl rf_stage/input_wb_we_i                                                  input      ../rtl/RF_stage.v        21.15    21.22  
