#   RTL                                                                               TYPE     FILENAME               BEGIN    END      
rtl exec_stage                                                                        module   ../rtl/EXEC_stage.v      16.1    120.10  
rtl exec_stage/input_pause                                                            input    ../rtl/EXEC_stage.v      18.15    18.20  
rtl exec_stage/input_muxa_ctl_i                                                       input    ../rtl/EXEC_stage.v      27.21    27.31  
rtl exec_stage/input_pc_i                                                             input    ../rtl/EXEC_stage.v      30.22    30.26  
rtl exec_stage/wire_BUS2332                                                           wire     ../rtl/EXEC_stage.v      38.17    38.24  
rtl exec_stage/wire_BUS2446                                                           wire     ../rtl/EXEC_stage.v      39.17    39.24  
rtl exec_stage/wire_BUS476                                                            wire     ../rtl/EXEC_stage.v      41.17    41.23  
rtl exec_stage/inst_add4                                                              inst     ../rtl/EXEC_stage.v      54.11    58.12  
rtl exec_stage/inst_i_alu_muxa                                                        inst     ../rtl/EXEC_stage.v      82.14    93.15  
rtl exec_stage/inst_pc_nxt                                                            inst     ../rtl/EXEC_stage.v     100.22   107.23  
rtl alu_muxa                                                                          module   ../rtl/EXEC_stage.v     179.1    204.10  
rtl alu_muxa/reg_a_o                                                                  reg      ../rtl/EXEC_stage.v     188.26   188.29  
rtl alu_muxa/always_1                                                                 always   ../rtl/EXEC_stage.v     191.5    203.8   
rtl alu_muxa/always_1/block_1                                                         block    ../rtl/EXEC_stage.v     192.5    203.8   
rtl alu_muxa/always_1/block_1/case_1                                                  case     ../rtl/EXEC_stage.v     193.9    202.16  
rtl alu_muxa/always_1/block_1/case_1/stmt_2                                           stmt     ../rtl/EXEC_stage.v     197.25   197.33  
rtl ext                                                                               module   ../rtl/RF_components.v   15.1     36.10  
rtl ext/input_ins_i                                                                   input    ../rtl/RF_components.v   16.22    16.27  
rtl ext/reg_res                                                                       reg      ../rtl/RF_components.v   17.27    17.30  
rtl ext/input_ctl                                                                     input    ../rtl/RF_components.v   18.20    18.23  
rtl ext/wire_instr25_0                                                                wire     ../rtl/RF_components.v   21.17    21.26  
rtl ext/assign_1_instr25_0                                                            assign   ../rtl/RF_components.v   22.12    22.35  
rtl ext/wire_sign                                                                     wire     ../rtl/RF_components.v   24.16    24.20  
rtl ext/assign_2_sign                                                                 assign   ../rtl/RF_components.v   24.23    24.42  
rtl ext/always_1                                                                      always   ../rtl/RF_components.v   26.5     35.12  
rtl ext/always_1/case_1                                                               case     ../rtl/RF_components.v   27.5     35.12  
rtl ext/always_1/case_1/cond                                                          cond     ../rtl/RF_components.v   27.11    27.14  
rtl ext/always_1/case_1/stmt_4                                                        stmt     ../rtl/RF_components.v   31.23    31.69  
rtl pc_gen                                                                            module   ../rtl/RF_components.v   58.1    101.10  
rtl pc_gen/input_pause                                                                input    ../rtl/RF_components.v   59.15    59.20  
rtl pc_gen/input_ctl                                                                  input    ../rtl/RF_components.v   60.20    60.23  
rtl pc_gen/reg_pc_next                                                                reg      ../rtl/RF_components.v   61.28    61.35  
rtl pc_gen/input_pc_prectl                                                            input    ../rtl/RF_components.v   62.21    62.30  
rtl pc_gen/input_pc                                                                   input    ../rtl/RF_components.v   65.21    65.23  
rtl pc_gen/input_imm                                                                  input    ../rtl/RF_components.v   67.21    67.24  
rtl pc_gen/wire_br_addr                                                               wire     ../rtl/RF_components.v   71.17    71.24  
rtl pc_gen/assign_1_br_addr                                                           assign   ../rtl/RF_components.v   71.27    71.35  
rtl pc_gen/always_1                                                                   always   ../rtl/RF_components.v   72.5     99.12  
rtl pc_gen/always_1/if_1                                                              if       ../rtl/RF_components.v   73.9     99.12  
rtl pc_gen/always_1/if_1/cond                                                         cond     ../rtl/RF_components.v   73.13    73.18  
rtl pc_gen/always_1/if_1/block_1                                                      block    ../rtl/RF_components.v   74.14    99.12  
rtl pc_gen/always_1/if_1/block_1/if_1                                                 if       ../rtl/RF_components.v   75.13    98.16  
rtl pc_gen/always_1/if_1/block_1/if_1/cond                                            cond     ../rtl/RF_components.v   75.16    75.36  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1                                         block    ../rtl/RF_components.v   76.13    88.16  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1                                  case     ../rtl/RF_components.v   77.17    87.24  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/cond                             cond     ../rtl/RF_components.v   77.23    77.26  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/block_1                          block    ../rtl/RF_components.v   81.31    84.24  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/block_1/if_1                     if       ../rtl/RF_components.v   82.25    83.52  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/block_1/if_1/stmt_1              stmt     ../rtl/RF_components.v   82.35    82.68  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/block_1/if_1/stmt_2              stmt     ../rtl/RF_components.v   83.30    83.52  
rtl pc_gen/always_1/if_1/block_1/if_1/block_1/case_1/stmt_4                           stmt     ../rtl/RF_components.v   86.37    86.55  
rtl pc_gen/always_1/if_1/block_1/if_1/block_2                                         block    ../rtl/RF_components.v   90.13    98.16  
rtl pc_gen/always_1/if_1/block_1/if_1/block_2/case_1                                  case     ../rtl/RF_components.v   91.17    97.24  
rtl pc_gen/always_1/if_1/block_1/if_1/block_2/case_1/cond                             cond     ../rtl/RF_components.v   91.23    91.32  
rtl pc_gen/always_1/if_1/block_1/if_1/block_2/case_1/stmt_1                           stmt     ../rtl/RF_components.v   92.32    92.50  
rtl pc_gen/always_1/if_1/block_1/if_1/block_2/case_1/stmt_3                           stmt     ../rtl/RF_components.v   96.21    96.38  
rtl rf_stage                                                                          module   ../rtl/RF_stage.v        16.1    197.10  
rtl rf_stage/input_pause                                                              input    ../rtl/RF_stage.v        17.15    17.20  
rtl rf_stage/input_irq_i                                                              input    ../rtl/RF_stage.v        19.15    19.20  
