,design,predictor,sample_type,sample_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_size_err,median_precision,median_recall,median_fscore,median_size_err
0,aemb,DATE,solver,0.1,1000000000000.0,,,0.8474454185661082,0.23037971845419525,0.34363167545286233,0.7445512904587299,1.0,0.2155172413793104,0.3546099290780142,0.7816455696202531
1,aemb,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.8347557299307645,0.32024441752695515,0.4298552773920997,0.5471050962379145,0.9454545454545454,0.26881720430107525,0.4210526315789474,0.68
2,divider,DATE,solver,0.1,1000000000000.0,,,0.9467806841046276,0.1949991319760011,0.31522317724371496,0.7841736342394553,1.0,0.17543859649122806,0.2950819672131148,0.8205128205128205
3,divider,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.757274964556672,0.5071120886435351,0.5851688074636083,0.3852864153753024,0.7708333333333334,0.4736842105263158,0.5648854961832062,0.3888888888888889
4,ethernet,DATE,solver,0.1,1000000000000.0,,,0.8611232922921235,0.2865718796596987,0.4044200667915964,0.610355912217722,1.0,0.2297297297297297,0.3736263736263736,0.7177985948477752
5,ethernet,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.8944583980798233,0.5846597387986029,0.6644392451942582,0.4053252449778192,1.0,0.5555555555555556,0.6803545745399042,0.3644863563402889
6,fdct,DATE,solver,0.1,1000000000000.0,,,0.9709141016330559,0.3565431589419786,0.504960847107258,0.6302908833169004,1.0,0.2962962962962963,0.4571428571428571,0.7037037037037037
7,fdct,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.93618935434802,0.5677762545877658,0.6888701043798767,0.4038162433536164,1.0,0.5396825396825397,0.6666666666666666,0.42
8,fpu,DATE,solver,0.1,1000000000000.0,,,0.800241618546572,0.33549947818704634,0.43899200632958174,0.6145373980294203,0.9285714285714286,0.30612244897959184,0.4482758620689655,0.6666666666666666
9,fpu,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.7374041929995441,0.4739877481821783,0.5175903695718598,0.5513088869882464,0.7857142857142857,0.4074074074074074,0.43478260869565216,0.4814814814814815
10,rsdecoder,DATE,solver,0.1,1000000000000.0,,,0.9533033942894508,0.3806760177949301,0.5051884100560299,0.6283578562498778,1.0,0.3057851239669421,0.456896551724138,0.7039106145251397
11,rsdecoder,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.9207192847940971,0.5612161583003279,0.659698698433359,0.5172066779589005,1.0,0.5377777777777778,0.6901408450704225,0.4625850340136055
12,spi,DATE,solver,0.1,1000000000000.0,,,0.9325513838013836,0.2695370488667509,0.3923453535396576,0.6926743423831708,1.0,0.1801184746390226,0.30463400039890964,0.7842188799032574
13,spi,suspect2vec,solver,0.1,1000000000000.0,20.0,0.0,0.8852905856533756,0.6008448773955035,0.6833044400383431,0.42699589691790496,0.9614900858242084,0.6306818181818181,0.7295321637426899,0.404916353704336
14,aemb,DATE,solver,0.2,1000000000000.0,,,0.8654849743706176,0.3663253042337607,0.485159564418775,0.6541820679950777,0.9705882352941176,0.34234234234234234,0.4837209302325581,0.6725978647686833
15,aemb,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.8026165814835602,0.5349224723132971,0.5902270599473842,0.6193390405291855,0.9338842975206612,0.4777070063694268,0.5599999999999999,0.4913793103448276
16,divider,DATE,solver,0.2,1000000000000.0,,,0.9570899667788167,0.3115975805383508,0.4638810392171596,0.6665216768827185,1.0,0.27450980392156865,0.42857142857142855,0.7105263157894737
17,divider,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.8579872674763681,0.6347004946213692,0.7153514333924301,0.2936908076970114,0.9272727272727272,0.6052631578947368,0.7272727272727273,0.3157894736842105
18,ethernet,DATE,solver,0.2,1000000000000.0,,,0.9099133508702884,0.4385514026671623,0.5618859731720068,0.5097922844067502,1.0,0.3587516087516087,0.5178191489361702,0.6134638737097753
19,ethernet,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.9165076908108238,0.7312859562891681,0.7880171886662359,0.280546187479614,0.9978991596638656,0.7094272844272844,0.8080808080808081,0.2312106627175121
20,fdct,DATE,solver,0.2,1000000000000.0,,,0.954492595577708,0.5471866444092893,0.6844154895947039,0.4250073274523739,1.0,0.5078125,0.6735751295336787,0.4
21,fdct,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.9400012263780524,0.7305587519243657,0.8012431440987059,0.30130884704518485,0.9910714285714286,0.7142857142857143,0.7692307692307692,0.21052631578947367
22,fpu,DATE,solver,0.2,1000000000000.0,,,0.8136847543475222,0.490092578414773,0.5806289074172238,0.4129773347223977,0.8518518518518519,0.4074074074074074,0.5588235294117647,0.5
23,fpu,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.7741397528960933,0.5998293809181531,0.6364677894776146,0.34541218741551105,0.8333333333333334,0.625,0.5909090909090909,0.2727272727272727
24,rsdecoder,DATE,solver,0.2,1000000000000.0,,,0.9292540601248008,0.5099955544172552,0.6268236481339741,0.5296808917038877,1.0,0.4585152838427948,0.5961002785515319,0.5414847161572053
25,rsdecoder,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.9138411352490388,0.7285055678136616,0.7846749101817437,0.30047892504369805,0.9735099337748344,0.7704918032786885,0.8442211055276382,0.23776223776223776
26,spi,DATE,solver,0.2,1000000000000.0,,,0.9419969100387054,0.3683115845479143,0.5055480872988701,0.5882068679332555,1.0,0.2913719943422913,0.4407723394701392,0.7029702970297029
27,spi,suspect2vec,solver,0.2,1000000000000.0,20.0,0.0,0.911197895408978,0.7502622968540398,0.8006987935879527,0.29624125032245924,0.9801932367149758,0.7737787542000517,0.8144963144963145,0.2
28,aemb,DATE,solver,0.3,1000000000000.0,,,0.8335644681433501,0.4826098215939326,0.5887643630243006,0.5120376638483743,0.9433962264150944,0.4482758620689655,0.6024096385542169,0.5094339622641509
29,aemb,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.7757939653674161,0.6421485336458649,0.6784342342432261,0.4447294580160945,0.84375,0.6328125,0.6899563318777293,0.2647058823529412
30,divider,DATE,solver,0.3,1000000000000.0,,,0.9804875304458328,0.4700330373131109,0.6246047985402333,0.5237582873442146,1.0,0.42857142857142855,0.5853658536585367,0.5454545454545454
31,divider,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.9026798248404508,0.7794456616550359,0.8224567330376968,0.20768043626156,0.9444444444444444,0.7543859649122807,0.8181818181818181,0.17857142857142858
32,ethernet,DATE,solver,0.3,1000000000000.0,,,0.9267647911669652,0.5677093153937339,0.6763173465711505,0.4122583052361983,1.0,0.4745762711864407,0.6348301800775017,0.5084745762711864
33,ethernet,suspect2vec,solver,0.3,1000000000000.0,20.0,0.0,0.9151378826695096,0.8244197948345589,0.8508595642723664,0.19127481886924386,0.99812734082397,0.9184841875681572,0.8840579710144927,0.1283783783783784
34,fdct,DATE,solver,0.3,1000000000000.0,,,0.9446786604323892,0.6982691321009303,0.7927688213069949,0.27608163048726503,1.0,0.7123287671232876,0.8041237113402061,0.28
