#   RTL                                                                           TYPE       FILENAME                   BEGIN  END      
rtl eth_clockgen                                                                  module     ../rtl/eth_clockgen.v       74.1   132.10  
rtl eth_clockgen/input_Divider                                                    input      ../rtl/eth_clockgen.v       80.13   80.20  
rtl eth_clockgen/reg_Mdc                                                          reg        ../rtl/eth_clockgen.v       82.13   82.16  
rtl eth_clockgen/wire_MdcEn                                                       wire       ../rtl/eth_clockgen.v       83.13   83.18  
rtl eth_clockgen/wire_MdcEn_n                                                     wire       ../rtl/eth_clockgen.v       84.13   84.20  
rtl eth_clockgen/reg_Counter                                                      reg        ../rtl/eth_clockgen.v       87.13   87.20  
rtl eth_clockgen/wire_CountEq0                                                    wire       ../rtl/eth_clockgen.v       89.13   89.21  
rtl eth_clockgen/wire_CounterPreset                                               wire       ../rtl/eth_clockgen.v       90.13   90.26  
rtl eth_clockgen/wire_TempDivider                                                 wire       ../rtl/eth_clockgen.v       91.13   91.24  
rtl eth_clockgen/assign_1_TempDivider                                             assign     ../rtl/eth_clockgen.v       94.8    94.67  
rtl eth_clockgen/assign_2_CounterPreset                                           assign     ../rtl/eth_clockgen.v       95.8    95.57  
rtl eth_clockgen/always_1                                                         always     ../rtl/eth_clockgen.v       99.1   112.4   
rtl eth_clockgen/always_1/block_1                                                 block      ../rtl/eth_clockgen.v      100.1   112.4   
rtl eth_clockgen/always_1/block_1/if_1                                            if         ../rtl/eth_clockgen.v      101.3   111.8   
rtl eth_clockgen/always_1/block_1/if_1/stmt_1                                     stmt       ../rtl/eth_clockgen.v      102.5   102.30  
rtl eth_clockgen/always_1/block_1/if_1/block_1                                    block      ../rtl/eth_clockgen.v      104.5   111.8   
rtl eth_clockgen/always_1/block_1/if_1/block_1/if_1                               if         ../rtl/eth_clockgen.v      105.7   110.44  
rtl eth_clockgen/always_1/block_1/if_1/block_1/if_1/cond                          cond       ../rtl/eth_clockgen.v      105.10  105.18  
rtl eth_clockgen/always_1/block_1/if_1/block_1/if_1/block_1                       block      ../rtl/eth_clockgen.v      106.9   108.12  
rtl eth_clockgen/always_1/block_1/if_1/block_1/if_1/block_1/stmt_1                stmt       ../rtl/eth_clockgen.v      107.11  107.50  
rtl eth_clockgen/always_1/block_1/if_1/block_1/if_1/stmt_1                        stmt       ../rtl/eth_clockgen.v      110.9   110.44  
rtl eth_clockgen/always_2                                                         always     ../rtl/eth_clockgen.v      116.1   125.4   
rtl eth_clockgen/always_2/block_1                                                 block      ../rtl/eth_clockgen.v      117.1   125.4   
rtl eth_clockgen/always_2/block_1/if_1                                            if         ../rtl/eth_clockgen.v      118.3   124.8   
rtl eth_clockgen/always_2/block_1/if_1/stmt_1                                     stmt       ../rtl/eth_clockgen.v      119.5   119.21  
rtl eth_clockgen/always_2/block_1/if_1/block_1                                    block      ../rtl/eth_clockgen.v      121.5   124.8   
rtl eth_clockgen/always_2/block_1/if_1/block_1/if_1                               if         ../rtl/eth_clockgen.v      122.7   123.25  
rtl eth_clockgen/always_2/block_1/if_1/block_1/if_1/cond                          cond       ../rtl/eth_clockgen.v      122.10  122.18  
rtl eth_clockgen/always_2/block_1/if_1/block_1/if_1/stmt_1                        stmt       ../rtl/eth_clockgen.v      123.9   123.25  
rtl eth_clockgen/assign_3_CountEq0                                                assign     ../rtl/eth_clockgen.v      128.8   128.34  
rtl eth_clockgen/assign_4_MdcEn                                                   assign     ../rtl/eth_clockgen.v      129.8   129.31  
rtl eth_clockgen/assign_5_MdcEn_n                                                 assign     ../rtl/eth_clockgen.v      130.8   130.32  
rtl eth_miim                                                                      module     ../rtl/eth_miim.v           89.1   451.10  
rtl eth_miim/input_Divider                                                        input      ../rtl/eth_miim.v          118.15  118.22  
rtl eth_miim/input_NoPre                                                          input      ../rtl/eth_miim.v          122.15  122.20  
rtl eth_miim/input_WCtrlData                                                      input      ../rtl/eth_miim.v          123.15  123.24  
rtl eth_miim/input_RStat                                                          input      ../rtl/eth_miim.v          124.15  124.20  
rtl eth_miim/input_ScanStat                                                       input      ../rtl/eth_miim.v          125.15  125.23  
rtl eth_miim/input_Mdi                                                            input      ../rtl/eth_miim.v          126.15  126.18  
rtl eth_miim/wire_Mdo                                                             wire       ../rtl/eth_miim.v          129.15  129.18  
rtl eth_miim/reg_WCtrlDataStart                                                   reg        ../rtl/eth_miim.v          137.15  137.29  
